"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,124254709,19,22,12-JUN-19,137889696
2019,124247404,10,1,,137893745
2019,124247419,20,13869,,137893760
2019,124250846,63,450,30-JUL-19,137897726
2019,124247423,63,450,,137889730
2019,124250845,63,1,,137897725
2019,124254775,28,50000,,137889771
2019,124250893,10,,,137897784
2019,124247456,63,350,,137893791
2019,124247465,16,900,,137893796
2019,124254806,16,1000,,137889807
2019,124250910,8,1,,137897809
2019,124250911,10,,,137897810
2019,124247493,35,500,,137893826
2019,124254830,16,150,,137889835
2019,124254829,16,150,18-MAY-19,137897846
2019,124247496,17,40,,137893837
2019,124247496,63,1,,137893839
2019,124247496,20,291,,137893838
2019,124250963,63,1,,137897860
2019,124247503,10,,,137893850
2019,124247506,13,3200,,137893854
2019,124247505,13,2200,02-OCT-19,137893853
2019,124247506,20,350,,137893855
2019,124247513,10,,,137893860
2019,124247517,10,,,137889859
2019,124250990,10,,,137897893
2019,124254866,63,3300,,137889866
2019,124247558,11,1,,137893916
2019,124247558,10,,,137893915
2019,124247583,19,51,,137893948
2019,124247582,19,51,10-MAY-19,137893947
2019,124247601,11,1,,137897999
2019,124247601,10,,,137897998
2019,124251092,10,,,137898013
2019,124247617,3,1,,137889970
2019,124247635,10,,,137894001
2019,124247661,63,1,,137894044
2019,124251217,10,70,,137890062
2019,124247698,36,36401,,137894097
2019,124251250,63,3000,,137898206
2019,124247707,63,50,,137894103
2019,124247712,10,,,137894108
2019,124251272,10,,,137898236
2019,124247727,10,,,137894125
2019,124251298,63,200,13-MAR-19,137898264
2019,124251299,63,200,,137898265
2019,124255116,36,2200,,137890160
2019,124255115,10,,,137890159
2019,124255119,36,50,,137890164
2019,124255119,16,130,,137890163
2019,124241650,38,200,,137882756
2019,124241697,38,1,08-DEC-19,137882830
2019,124241698,38,1,,137882831
2019,124241706,28,2500,,137882839
2019,124241705,28,2500,02-NOV-19,137882838
2019,124245073,16,265,,137882865
2019,124245073,27,170,,137866008
2019,124241759,15,6,,137881173
2019,124245106,20,1430,,137881204
2019,124236733,20,1430,17-SEP-19,137881203
2019,124236740,63,1,,137866050
2019,124236746,10,,,137881219
2019,124241836,11,3,,137881232
2019,124241836,10,,,137881231
2019,124245134,3,250,,137866074
2019,124245136,9,0,,137866077
2019,124241916,8,7,,137883100
2019,124245180,16,50,,137866128
2019,124236840,63,1,,137883152
2019,124241951,29,1,,137883151
2019,124241972,63,1,30-AUG-19,137883176
2019,124241973,63,1,,137883178
2019,124245215,13,280,,137866178
2019,124242022,13,600,,137866193
2019,124245245,37,1,,137866223
2019,124242180,63,1,,137881477
2019,124245295,35,1500,,137866285
2019,124245308,20,60,,137883497
2019,124245308,63,500,,137883498
2019,124245314,3,20000,,137866307
2019,124242249,63,1,,137883523
2019,124245320,9,0,,137881529
2019,124237010,9,0,04-MAR-19,137883532
2019,124245329,3,1200,,137866325
2019,124245346,10,,,137883608
2019,124245349,63,535,,137866362
2019,124245370,10,,,137881610
2019,124245370,11,2,,137881611
2019,124245390,15,4000,,137866412
2019,124242490,10,,,137866428
2019,124245458,12,1200,,137866493
2019,124242608,20,45,,137883981
2019,124237245,3,5000,,137866514
2019,124242648,10,,,137884020
2019,124242688,16,318,,137884067
2019,124245483,16,318,03-DEC-19,137884065
2019,124245512,3,800,,137866569
2019,124245516,11,1,,137866575
2019,124245516,10,,,137866574
2019,124245563,25,1,,137866617
2019,124245563,63,1,,137884248
2019,124245563,20,300,,137866616
2019,124245575,19,16,,137884263
2019,124237382,10,,,137866638
2019,124245601,19,15,,137884343
2019,124245605,63,200,,137881971
2019,124242896,34,100,,137866655
2019,124242909,19,169,,137881983
2019,124242907,19,169,03-AUG-19,137866661
2019,124245617,10,,,137882000
2019,124242936,10,,,137866674
2019,124242936,11,1,,137866675
2019,124245630,63,185,,137882017
2019,124242979,6,100,,137884442
2019,124245643,63,0,,137866701
2019,124242995,25,2,,137884466
2019,124242993,3,1,,137884461
2019,124237489,19,120,,137882060
2019,124243059,3,17000,,137884562
2019,124243058,3,17000,04-FEB-19,137884561
2019,124246074,20,500,,137887736
2019,124243933,63,500,,137867179
2019,124246087,20,1,,137867191
2019,124243975,3,4000,,137887781
2019,124243974,3,4000,16-FEB-19,137867211
2019,124238099,10,1,,137887804
2019,124246114,10,,,137885623
2019,124246125,10,,,137887824
2019,124244111,63,600,,137885750
2019,124246177,10,,,137887913
2019,124246195,13,1500,,137867316
2019,124246199,10,,,137867319
2019,124238228,63,1,,137887958
2019,124244164,13,1000,,137885814
2019,124244251,63,10,,137885908
2019,124244294,3,30000,,137888108
2019,124238354,34,1,,137888114
2019,124246316,3,900,,137885985
2019,124238382,2,8,,137888143
2019,124244349,10,1,,137886008
2019,124244354,9,0,,137888163
2019,124244354,63,41,,137886018
2019,124244354,20,60,,137886016
2019,124244354,25,30,,137886017
2019,124238408,20,5,,137888175
2019,124244402,10,,,137892510
2019,124244447,10,,,137892548
2019,124244458,10,,,137886134
2019,124246422,10,,,137888283
2019,124244472,11,1,,137888298
2019,124244472,10,,,137886144
2019,124238554,36,530,,137886176
2019,124244504,19,1,,137886191
2019,124244548,2,15,17-JUL-19,137892646
2019,124244550,2,15,,137886234
2019,124249587,19,39,,137886284
2019,124249614,20,20,,137886319
2019,124238673,36,407,,137886341
2019,124238672,36,387,29-APR-19,137886339
2019,124238673,19,1000,,137886340
2019,124246560,28,100,,137892734
2019,124246569,10,,,137892748
2019,124246585,10,,,137888534
2019,124238732,20,52,,137892774
2019,124238732,25,30,,137888543
2019,124246590,20,52,10-JUN-19,137888542
2019,124246621,38,200,,137892809
2019,124249776,11,1,,137886496
2019,124249776,10,,,137886495
2019,124249797,38,1,,137892835
2019,124246639,4,1,,137886526
2019,124246639,63,1,,137892845
2019,124249821,63,100,16-JUL-19,137886538
2019,124238809,63,100,,137892855
2019,124238809,7,400,,137886539
2019,124249821,7,400,16-JUL-19,137892854
2019,124249861,19,7,,137886587
2019,124238853,11,1,,137886594
2019,124246645,3,1,,137892849
2019,124238853,10,,,137888682
2019,124246711,38,1,,137888719
2019,124238903,21,300,,137892948
2019,124246745,36,50,,137892982
2019,124238948,20,300,,137888810
2019,124249969,63,100,,137886713
2019,124246801,30,1,,137893030
2019,124239004,36,5100,,137888862
2019,124239003,35,30,,137888860
2019,124246830,16,1,,137893074
2019,124250056,26,1,,137886831
2019,124250075,63,50,,137886853
2019,124250075,6,200,,137886851
2019,124250075,17,125,,137886852
2019,124250075,16,90,,137888913
2019,124250076,16,1,,137893100
2019,124250076,6,2000,,137893099
2019,124246861,9,0,,137893111
2019,124246882,19,23,09-MAR-19,137893132
2019,124246883,19,23,,137893133
2019,124250125,29,125,,137893157
2019,124250125,16,30,,137893156
2019,124239104,8,9,,137888972
2019,124250171,10,,,137889008
2019,124250171,11,1,,137889009
2019,124250175,63,1,,137886950
2019,124239150,10,,,137893202
2019,124239164,10,,,137886976
2019,124239176,63,1200,,137889048
2019,124246972,10,,,137887012
2019,124246978,6,90,,137893255
2019,124246976,6,90,08-NOV-19,137893253
2019,124247003,16,1245,,137893285
2019,124247004,10,,,137889106
2019,124239254,36,500,,137889153
2019,124239263,3,1,,137887089
2019,124239265,20,1,,137889162
2019,124239265,6,1,,137889161
2019,124250332,20,28000,,137889190
2019,124250344,3,1,,137887140
2019,124250349,63,899,,137889205
2019,124239317,10,,,137889219
2019,123811148,10,,,137309389
2019,123834587,16,22,26-DEC-19,137332348
2019,123811120,16,22,,137309362
2019,123829709,63,150,,137329651
2019,123829718,63,70,,137329660
2019,123829729,8,69,,137329668
2019,123829739,63,40,,137332385
2019,123834641,63,1,,137332402
2019,123811137,10,,,137332369
2019,123829726,42,1,,137309382
2019,123811176,3,15000,,137309416
2019,123834653,61,1,,137332416
2019,123829766,29,10000,,137329709
2019,123811228,63,27,,137309462
2019,123811241,3,1,,137329743
2019,123811253,20,20,,137309487
2019,123811272,20,1,,137309504
2019,123811279,38,25,,137309513
2019,123834754,16,200,,137329791
2019,123811312,10,,,137332557
2019,123811318,19,91,,137329810
2019,123829863,35,1,,137329812
2019,123811331,63,88,,137332580
2019,123811352,19,1,,137309586
2019,123811351,10,,,137309585
2019,123811374,3,1,,137309611
2019,123834829,25,300,,137332618
2019,123834839,63,45,,137332628
2019,123811391,63,125,,137309634
2019,123811395,24,300,,137309641
2019,123834851,11,20,,137309643
2019,123834851,10,,,137329838
2019,123811405,19,77,,137309651
2019,123811409,26,10,,137309654
2019,123834640,63,0,,137332398
2019,123829751,10,,,137309423
2019,123834632,26,300,,137309400
2019,123834634,63,100,,137332393
2019,123811184,63,2000,,137332411
2019,123811194,63,0,,137309431
2019,123811418,67,1,,137309666
2019,123811423,63,100,,137309676
2019,123811442,36,560,,137309696
2019,123811459,63,66,,137309712
2019,123834908,13,400,,137309718
2019,123811474,16,1,,137309733
2019,123811478,63,71,,137309737
2019,123829731,10,,,137309385
2019,123829731,11,5,,137309386
2019,123811179,6,1,,137309418
2019,123811189,8,5,,137329692
2019,123829769,10,,,137329712
2019,123811234,10,,,137309467
2019,123811250,17,100,,137309480
2019,123811250,26,350,,137309481
2019,123811258,11,1,,137309491
2019,123811258,10,,,137309490
2019,123829814,3,1000,,137329764
2019,123811269,24,1000,,137309503
2019,123811273,16,200,,137309505
2019,123834763,10,,,137332536
2019,123834763,11,1,,137332537
2019,123811332,63,20,,137309565
2019,123811336,6,1,,137309568
2019,123811336,26,20,,137309569
2019,123811336,63,20,,137309570
2019,123811340,10,,,137309573
2019,123811343,19,9,,137309576
2019,123811365,11,1,,137309597
2019,123811365,10,,,137309596
2019,123834822,6,70,,137309614
2019,123811392,3,5000,12-NOV-19,137309636
2019,123811393,3,5000,,137309637
2019,123811401,3,10000,,137309648
