"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2019,4,147382006
2019,4,147377510
2019,4,147373838
2019,4,147377511
2019,4,147373843
2019,4,147373842
2019,4,147382020
2019,4,147373857
2019,4,147373861
2019,4,147373859
2019,4,147373867
2019,4,147382036
2019,4,147382033
2019,4,147373872
2019,4,147373877
2019,4,147382040
2019,4,147377528
2019,4,147377533
2019,4,147377532
2019,4,147373881
2019,4,147377537
2019,4,147373885
2019,4,147377543
2019,4,147373892
2019,4,147373891
2019,4,147373899
2019,4,147373902
2019,4,147382071
2019,4,147373903
2019,4,147373904
2019,4,147382079
2019,4,147382083
2019,4,147377551
2019,4,147382076
2019,4,147382080
2019,4,147373908
2019,4,147382097
2019,4,147382098
2019,4,147373911
2019,4,147377553
2019,4,147382093
2019,4,147373914
2019,4,147377563
2019,4,147377566
2019,4,147377567
2019,4,147373922
2019,4,147373918
2019,4,147377568
2019,4,147373919
2019,4,147382111
2019,4,147373933
2019,4,147382117
2019,4,147373939
2019,4,147382121
2019,4,147373950
2019,4,147377579
2019,4,147382127
2019,4,147382135
2019,4,147382132
2019,4,147373956
2019,4,147377585
2019,4,147382145
2019,4,147377586
2019,4,147382154
2019,4,147382152
2019,4,147382162
2019,4,147373973
2019,4,147382173
2019,4,147382176
2019,4,147373970
2019,4,147373980
2019,4,147382182
2019,4,147373984
2019,4,147377605
2019,4,147382192
2019,4,147377607
2019,4,147377609
2019,4,147382189
2019,4,147382199
2019,4,147382202
2019,4,147377616
2019,4,147382200
2019,4,147373997
2019,4,147374002
2019,4,147374004
2019,4,147374003
2019,4,147382216
2019,4,147377624
2019,4,147374010
2019,4,147382215
2019,4,147382218
2019,4,147374008
2019,4,147374014
2019,4,147382225
2019,4,147374013
2019,4,147382227
2019,4,147382229
2019,4,147374022
2019,4,147382234
2019,4,147377628
2019,4,147382236
2019,4,147382239
2019,4,147374030
2019,4,147377630
2019,4,147377631
2019,4,147377629
2019,4,147374033
2019,4,147377637
2019,4,147374031
2019,4,147374034
2019,4,147374032
2019,4,147377635
2019,4,147377634
2019,4,147377638
2019,4,147377645
2019,4,147377646
2019,4,147374039
2019,4,147374045
2019,4,147374044
2019,4,147382271
2019,4,147382270
2019,4,147374049
2019,4,147382282
2019,4,147382278
2019,4,147382279
2019,4,147374052
2019,4,147377660
2019,4,147382286
2019,4,147382291
2019,4,147374063
2019,4,147374067
2019,4,147377668
2019,4,147374072
2019,4,147382298
2019,4,147382300
2019,4,147377671
2019,4,147374075
2019,4,147374077
2019,4,147382307
2019,4,147374076
2019,4,147377679
2019,4,147377689
2019,4,147374083
2019,4,147382332
2019,4,147382329
2019,4,147382333
2019,4,147382337
2019,4,147374098
2019,4,147382345
2019,4,147382346
2019,4,147382344
2019,4,147382349
2019,4,147377700
2019,4,147377703
2019,4,147377704
2019,4,147382360
2019,4,147382363
2019,4,147377714
2019,4,147374115
2019,4,147377715
2019,4,147377712
2019,4,147382378
