"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2019,134966260,148773374
2019,134960366,148773393
2019,134960379,148777636
2019,134960394,148777650
2019,134966342,148773457
2019,134966343,148773457
2019,134970045,148777667
2019,134966360,148773476
2019,134960428,148777690
2019,134960434,148773489
2019,134970103,148769522
2019,134960454,148769535
2019,134960452,148769535
2019,134960453,148769535
2019,134970121,148773513
2019,134970120,148773513
2019,134970122,148769539
2019,134960460,148777712
2019,134960463,148773525
2019,134960466,148777718
2019,134960466,148777719
2019,134966406,148773535
2019,134960471,148777726
2019,134970160,148777725
2019,134960477,148777737
2019,134960481,148777742
2019,134960485,148769612
2019,134960489,148777751
2019,134960490,148777752
2019,134960493,148777755
2019,134960497,148773574
2019,134960500,148777763
2019,134960503,148777767
2019,134966462,148773587
2019,134966463,148773588
2019,134960515,148777775
2019,134960521,148773607
2019,134960524,148777779
2019,134960525,148777779
2019,134960528,148777780
2019,134960529,148777780
2019,134960532,148777782
2019,134960533,148777784
2019,134960533,148777783
2019,134970313,148769705
2019,134960534,148777785
2019,134960536,148773619
2019,134960536,148773620
2019,134970318,148769711
2019,134960541,148769718
2019,134960544,148777791
2019,134960546,148777795
2019,134960545,148777792
2019,134960548,148777796
2019,134960549,148777797
2019,134960550,148777798
2019,134960552,148777800
2019,134960554,148777802
2019,134960556,148777805
2019,134960557,148777806
2019,134960558,148777807
2019,134960559,148777807
2019,134960561,148777808
2019,134960562,148773657
2019,134960563,148773659
2019,134960564,148773659
2019,134960570,148769774
2019,134970380,148769775
2019,134960571,148769777
2019,134966540,148773665
2019,134960575,148769779
2019,126684016,140195471
2019,126688309,140202104
2019,126684029,140195485
2019,126684028,140195486
2019,126684032,140195490
2019,126684039,140195500
2019,126684049,140195514
2019,126684052,140195517
2019,126684058,140202112
2019,126688322,140195524
2019,126684063,140202113
2019,126684093,140195566
2019,126684111,140195583
2019,126684116,140195588
2019,126684123,140195596
2019,126684127,140195600
2019,126684133,140195611
2019,126680202,140198288
2019,126684146,140195623
2019,126684148,140195629
2019,126684169,140195650
2019,126684168,140195649
2019,126684171,140195652
2019,126684187,140195670
2019,126684197,140195679
2019,126684210,140195690
2019,126684218,140195701
2019,126684224,140195706
2019,126684240,140195721
2019,126684241,140195722
2019,126684246,140195731
2019,126684251,140195736
2019,126688337,140202124
2019,126684263,140195751
2019,126684264,140195750
2019,126684268,140195755
2019,126684272,140195759
2019,126684273,140195760
2019,126684288,140202155
2019,126684293,140195784
2019,126684298,140195790
2019,126684302,140195793
2019,126684307,140195796
2019,126684312,140202179
2019,126684311,140202178
2019,126684342,140195833
2019,126684347,140195837
2019,126688416,140202219
2019,126684355,140195845
2019,126684359,140195850
2019,126684364,140195856
2019,126684371,140195858
2019,126684370,140195858
2019,126688436,140195859
2019,126684376,140195864
2019,126684378,140195866
2019,123449827,136915324
2019,123456340,136905970
2019,123456358,136905982
2019,123449851,136915354
2019,123449859,136909155
2019,123456380,136909161
2019,123449875,136906004
2019,123449896,136915400
2019,123456537,136909286
2019,123453726,136916195
2019,123450058,136909337
2019,123450064,136909348
2019,133539746,147377767
2019,133539774,147382484
2019,133539781,147374206
2019,133539787,147382498
2019,133539814,147382525
2019,133539875,147382577
2019,133539875,147382578
2019,133539889,147374292
2019,133530198,147374292
