"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,6,148047755
2019,8,148047755
2019,6,148044093
2019,9,148044076
2019,9,148047795
2019,6,147381000
2019,6,147381003
2019,6,147388296
2019,6,147392392
2019,6,147392416
2019,6,147388325
2019,6,147388337
2019,6,147388361
2019,9,147388362
2019,6,147388391
2019,6,147381070
2019,6,147381080
2019,9,147381084
2019,6,147388432
2019,6,147381101
2019,6,147381128
2019,6,147381138
2019,6,147388510
2019,6,147388509
2019,9,147388526
2019,6,147396177
2019,6,147392586
2019,6,147396183
2019,9,147392593
2019,9,147388604
2019,6,147396227
2019,9,147388629
2019,9,147396262
2019,6,147396321
2019,9,147396345
2019,6,147392751
2019,9,147388806
2019,6,147388809
2019,6,147388828
2019,6,147388832
2019,9,147392803
2019,6,147396423
2019,6,147388878
2019,8,147388878
2019,6,147388879
2019,8,147388879
2019,6,147392819
2019,6,147392820
2019,6,147396433
2019,6,147388907
2019,9,147396453
2019,6,147392855
2019,9,147392875
2019,9,147396478
2019,9,147396481
2019,6,147388975
2019,6,147388977
2019,9,147396513
2019,9,147396512
2019,9,147396532
2019,6,147396541
2019,9,147396546
2019,9,147396584
2019,6,147393007
2019,9,147396593
2019,6,147393045
2019,9,147396614
2019,9,147396632
2019,9,147396635
2019,6,147396666
2019,6,147396667
2019,9,147396674
2019,9,147396675
2019,9,147396692
2019,6,147396705
2019,6,147396715
2019,6,147396736
2019,6,147396737
2019,9,147396739
2019,9,147389261
2019,9,147396759
2019,9,147396761
2019,6,147396767
2019,6,147396768
2019,9,147396770
2019,6,147396790
2019,9,147396788
2019,6,147396796
2019,6,147396797
2019,6,147393302
2019,6,147393303
2019,9,147396804
2019,9,147396807
2019,6,147393326
2019,6,147393327
2019,6,147396808
2019,6,147396811
2019,6,147396810
2019,6,147393358
2019,6,147396828
2019,6,147393406
2019,6,147396854
2019,9,147396863
2019,9,147393451
2019,6,147396875
2019,6,147396876
2019,6,147396883
2019,6,147396906
2019,6,147396905
2019,9,147396939
2019,6,147396947
2019,6,147396948
2019,9,147396951
2019,9,147396955
2019,6,147396957
2019,9,147396970
2019,9,147396972
2019,9,147396992
2019,9,147397002
2019,9,147397006
2019,6,147397009
2019,6,147393766
2019,6,147397019
2019,6,147397022
2019,6,147397031
2019,6,147397032
2019,9,147389744
2019,6,147397066
2019,6,147397067
2019,6,147397068
2019,9,147393899
2019,6,147397086
2019,6,147393931
2019,9,147389850
2019,9,147397129
2019,6,147397141
2019,9,147389885
2019,6,147389896
2019,8,147389896
2019,9,147397175
2019,6,147397178
2019,6,147397177
2019,9,147394111
2019,6,147394123
2019,6,147394124
2019,9,147397197
2019,9,147397203
2019,6,147394161
2019,6,147389979
2019,6,147389982
2019,6,147389983
2019,9,147397214
2019,6,147394177
2019,6,147397224
2019,9,147397226
2019,9,147390000
2019,8,147394205
2019,8,147394204
2019,6,147394208
2019,9,147394222
2019,6,147390036
2019,6,147394234
2019,9,147397269
2019,9,147397281
2019,9,147394279
2019,6,147397293
2019,6,147397311
2019,9,147397323
2019,9,147394320
2019,9,147394325
2019,6,147397333
2019,6,147390081
2019,9,147394354
2019,6,147394361
2019,9,147397438
2019,9,147397446
2019,3,147397453
2019,2,147397470
2019,9,147397476
2019,9,147397495
2019,6,147397522
2019,6,147397526
2019,6,147397527
2019,6,147397529
2019,6,147397531
2019,3,147390167
2019,8,147390167
2019,6,147397541
2019,6,147397540
2019,6,147397542
2019,6,147397547
2019,9,147397549
2019,6,147397552
2019,6,147397551
2019,6,147397557
2019,9,147397558
2019,9,147397559
2019,6,147397562
2019,6,147397561
2019,9,147397563
2019,9,147397564
2019,9,147397565
2019,9,147397567
2019,6,147397570
2019,6,147397571
2019,6,147397572
2019,9,147397573
2019,6,147397575
2019,9,147397576
2019,6,147397579
2019,6,147397580
2019,9,147397582
2019,9,147397583
2019,9,147397584
2019,6,147397585
2019,9,147397586
2019,9,147397588
2019,6,147397591
2019,6,147397590
2019,9,147397594
2019,6,147397596
2019,9,147397598
2019,9,147397599
2019,6,147397600
2019,9,147397601
2019,6,147397602
2019,6,147397603
2019,6,147397608
2019,9,147397609
2019,6,147397613
2019,6,147397615
2019,6,147397614
2019,9,147397617
2019,9,147397618
2019,9,147397619
2019,9,147376464
2019,9,147376506
2019,6,147376547
2019,9,147376593
2019,6,147372477
2019,6,147376669
2019,6,147372516
2019,6,147369765
2019,6,147369795
2019,6,147369794
2019,9,147369946
2019,9,147376777
2019,9,147372707
2019,8,147370103
2019,6,147370250
2019,9,147370353
2019,9,147376936
2019,6,147370489
2019,9,147373029
2019,9,147377024
