"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2019,128723758,1,
2019,128723741,1,
2019,128723748,1,
2019,128723808,10,
2019,128723920,10,
2019,133529437,9,
2019,133529490,1,
2019,133538461,1,
2019,133534298,1,
2019,133529784,9,
2019,133529785,9,
2019,133529835,1,
2019,133534549,1,
2019,133539826,9,
2019,133530160,9,
2019,133540062,1,
2019,133540227,1,
2019,133535401,1,
2019,133530777,9,
2019,133530830,1,
2019,133536159,9,
2019,133536159,2,
2019,133536513,1,
2019,133541603,1,
2019,133541731,1,
2019,133536921,6,
2019,133537094,1,
2019,133537492,1,
2019,133532120,1,
2019,124067936,1,
2019,124067942,10,
2019,124067947,10,
2019,124067976,1,
2019,124067906,10,
2019,124067955,10,
2019,124067957,1,
2019,128723797,10,
2019,128723823,1,
2019,128723877,10,
2019,128723903,10,
2019,128714667,6,
2019,128723614,1,
2019,128728395,1,
2019,134469607,10,
2019,134464427,10,
2019,134469606,10,
2019,134469971,1,
2019,126684023,1,
2019,126684199,1,
2019,126684013,10,
2019,128723862,10,
2019,128714882,10,
2019,128723964,6,
2019,128723764,9,
2019,128723794,10,
2019,128723624,10,
2019,126684092,1,
2019,126684154,1,
2019,126684202,9,
2019,126684248,1,
2019,126684314,10,
2019,126684123,1,
2019,126684264,1,
2019,128728217,1,
2019,128723761,10,
2019,126684183,1,
2019,126684270,10,
2019,126684352,1,
2019,126684019,1,
2019,126684034,1,
2019,126684208,10,
2019,126684332,10,
2019,126684331,10,
2019,126684363,1,
2019,126684386,1,
2019,126684387,1,
2019,126684403,9,
2019,126684422,1,
2019,126684448,10,
2019,126684447,10,
2019,126684449,10,
2019,126684446,10,
2019,126684450,10,
2019,126684479,1,
2019,126684487,9,
2019,126684494,1,
2019,126684493,1,
2019,126684499,10,
2019,126684501,1,
2019,126684502,10,
2019,126684543,1,
2019,126684541,1,
2019,126684540,1,
2019,126684542,1,
2019,126684554,1,
2019,126684558,1,
2019,126684557,1,
2019,126684561,1,
2019,126684560,1,
2019,126684559,1,
2019,126684601,10,
2019,126684602,10,
2019,126684606,1,
2019,126684605,1,
2019,126684616,1,
2019,126684627,1,
2019,126684676,1,
2019,126684715,1,
2019,126684720,10,
2019,126684721,10,
2019,126684741,10,
2019,126684762,1,
2019,126684764,1,
2019,126684775,1,
2019,126684778,1,
2019,126684793,10,
2019,126684805,1,
2019,126684808,1,
2019,126684818,10,
2019,126684820,1,
2019,126684821,10,
2019,126684825,10,
2019,126684824,10,
2019,126684837,10,
2019,126684843,10,
2019,126684842,10,
2019,126684841,10,
2019,126684840,10,
2019,126684855,1,
2019,126684860,10,
2019,126684864,1,
2019,128723724,10,
2019,128723705,1,
2019,133529144,10,
2019,133538093,1,
2019,133538092,1,
2019,133538090,1,
2019,133529649,1,
2019,133534422,1,
2019,133530017,6,
2019,133539868,1,
2019,133535200,1,
2019,133530506,9,
2019,133540910,9,
2019,133531149,1,
2019,133531157,1,
2019,133536375,1,
2019,133536393,1,
2019,133541410,1,
2019,133541413,1,
2019,128723657,10,
2019,133541726,1,
2019,133541728,1,
2019,133536770,1,
2019,133531548,9,
2019,128723627,1,
2019,128714709,10,
2019,118539062,6,
2019,118535599,1,
2019,118540499,9,
2019,118540498,9,
2019,118525986,1,
2019,120320922,10,
2019,123456385,10,
2019,123450060,1,
2019,118529608,1,
2019,118525888,9,
2019,118529715,10,
2019,118537581,1,
2019,128714688,1,
2019,128714855,10,
2019,128728208,6,
2019,128714778,10,
2019,124062912,1,
2019,124062917,10,
2019,118539344,1,
2019,118539343,1,
2019,118539380,10,
2019,123456400,9,
2019,123449894,9,
2019,120315215,10,
2019,128728327,1,
2019,124432884,1,
2019,124422910,1,
2019,124422918,9,
2019,124422931,1,
2019,133540124,9,
2019,133540159,2,
2019,133540159,9,
2019,133535417,1,
2019,133540412,6,
2019,133535581,1,
2019,133540477,1,
2019,133530695,1,
2019,133535868,1,
2019,133540830,6,
2019,133540829,6,
2019,133530811,6,
2019,133540846,9,
2019,133541161,10,
2019,133531075,1,
2019,133536295,1,
2019,133531147,1,
2019,133541263,1,
2019,133536360,10,
2019,133541344,9,
2019,133531383,1,
2019,133531384,1,
2019,133531381,1,
2019,133531426,6,
2019,133531465,1,
2019,133536717,1,
2019,133531511,9,
2019,133531511,2,
2019,133531737,1,
2019,133537110,9,
2019,133531794,3,
2019,133531910,9,
2019,133531914,1,
2019,133531913,1,
2019,133532102,9,
2019,133532212,9,
2019,133532211,10,
2019,133532344,1,
2019,133532343,1,
2019,133532592,1,
2019,133532597,9,
2019,133543354,1,
2019,133532644,1,
2019,133532684,1,
2019,133543629,1,
2019,133548286,1,
2019,133532898,1,
2019,133543793,1,
2019,133543794,1,
2019,133548472,1,
2019,133548474,1,
2019,133553054,1,
2019,133544074,9,
2019,133548562,1,
2019,133553108,9,
2019,133548675,1,
2019,133553482,1,
2019,133549130,8,
2019,133549133,8,
2019,133549136,8,
2019,133544741,8,
2019,133544738,8,
2019,133553542,8,
2019,133544737,8,
2019,133549131,8,
2019,133549194,9,
2019,133549193,9,
2019,133553683,1,
2019,133549368,9,
2019,133553749,1,
2019,133553758,1,
2019,133553781,9,
2019,133553781,2,
2019,133553824,1,
2019,133553866,1,
2019,133549550,9,
2019,133554028,9,
2019,133554064,1,
2019,133554063,1,
2019,133554087,9,
2019,133554104,1,
2019,133554114,9,
2019,133554171,1,
2019,133550101,9,
2019,133554234,1,
2019,133554301,1,
2019,133550209,1,
2019,133554310,9,
2019,133554328,1,
2019,133554336,9,
2019,133554366,1,
2019,133546001,1,
2019,133554518,9,
2019,133554630,10,
2019,133554631,1,
2019,133554638,1,
2019,133554640,1,
2019,133554654,10,
2019,133554668,1,
2019,124062884,9,
2019,118539409,1,
2019,124432883,1,
2019,133528787,1,
2019,133528788,1,
2019,133521874,2,
2019,133528935,1,
2019,133522125,1,
2019,133533558,9,
2019,133522550,9,
2019,133529224,1,
2019,133529283,1,
2019,133529302,9,
2019,133537960,1,
2019,133529365,6,
2019,133538599,1,
2019,133534332,1,
2019,133539047,1,
2019,133539203,9,
2019,133539203,2,
2019,133539212,9,
2019,133529995,10,
2019,133539609,9,
2019,133539763,1,
2019,133539762,1,
2019,133539866,10,
2019,133530273,9,
2019,133540122,1,
2019,133535265,10,
2019,133540210,1,
2019,133535373,10,
2019,133530766,9,
2019,133540932,10,
2019,133541017,1,
2019,133541013,1,
2019,133541016,1,
2019,133541014,1,
2019,133536449,10,
2019,133536528,10,
2019,133531416,1,
2019,133531496,1,
2019,133531744,1,
2019,133532240,1,
2019,133535172,10,
2019,133528795,9,
2019,133521781,9,
2019,133533202,1,
2019,133528910,1,
2019,133529143,10,
2019,133529172,10,
2019,133538227,1,
2019,133529537,1,
2019,133538564,1,
2019,133529569,1,
2019,133534202,1,
2019,133538824,9,
2019,133538852,1,
2019,133538870,1,
2019,133539204,1,
2019,133539392,9,
2019,133539393,9,
2019,133539461,1,
2019,133539645,1,
2019,133539667,1,
2019,133534905,10,
2019,133530102,1,
2019,133534945,1,
2019,133534941,1,
2019,133534937,1,
2019,133539738,1,
2019,133530164,1,
2019,133530163,1,
2019,133530180,9,
2019,133530179,9,
2019,133530179,1,
2019,133530180,1,
2019,133535108,1,
2019,118525763,1,
2019,134960368,1,
2019,134960391,9,
2019,134966343,1,
2019,134966342,1,
2019,134970160,1,
2019,134960500,1,
2019,134778713,10,
2019,134266829,2,
2019,134267168,10,
2019,134271722,10,
2019,134267473,9,
2019,134267537,1,
2019,134267755,9,
2019,134283280,1,
2019,134283311,1,
2019,134284962,1,
2019,134286043,6,
2019,134286490,1,
2019,134286608,10,
2019,134286893,10,
2019,132977287,1,
2019,133002937,9,
2019,132977240,1,
2019,133002951,1,
2019,132992896,1,
2019,134290006,10,
2019,134290853,1,
2019,134290854,1,
2019,134284976,10,
2019,134288522,1,
2019,134287120,9,
2019,134287584,10,
2019,134290290,10,
2019,134290288,10,
2019,134293195,10,
2019,134293204,1,
2019,134290999,1,
2019,134291000,1,
2019,134291141,1,
2019,134291288,1,
2019,134293779,9,
2019,134291542,10,
2019,134291669,9,
2019,134298440,1,
2019,134291888,1,
2019,134298730,1,
2019,134292310,1,
2019,134298882,1,
2019,134294461,9,
2019,134292548,9,
2019,134292615,10,
2019,134292892,1,
2019,134294716,10,
2019,134302907,10,
2019,134302931,10,
2019,134302972,10,
2019,134302985,10,
2019,134299507,10,
2019,134303036,9,
2019,132992703,1,
2019,132998032,10,
2019,132992833,1,
2019,132992878,1,
2019,132998213,1,
2019,132998305,1,
2019,132998321,1,
2019,132998339,10,
2019,132998350,1,
2019,133002957,9,
2019,134293464,10,
2019,134291073,9,
2019,134291241,1,
2019,134293786,9,
2019,134291627,1,
2019,134291789,1,
2019,134291806,1,
2019,134292224,1,
2019,134292399,1,
2019,134464200,1,
2019,134469431,1,
2019,134459418,10,
2019,134464393,1,
2019,134459440,1,
2019,134459470,9,
2019,134464448,1,
2019,134459532,1,
2019,134459578,10,
2019,134459592,1,
2019,134469691,1,
2019,134459764,9,
2019,134459772,1,
2019,134459793,1,
2019,134459836,1,
2019,134464606,10,
2019,134459872,10,
2019,134464604,10,
2019,134464605,10,
2019,134459873,10,
2019,123449874,10,
2019,133533261,1,
2019,133522511,1,
2019,133533752,1,
2019,133533795,1,
2019,133538171,9,
2019,133538302,10,
2019,133538534,1,
2019,133534342,1,
2019,133539606,1,
2019,133539732,1,
2019,133534973,1,
2019,133540119,1,
2019,133540123,1,
2019,133535329,6,
2019,133530420,1,
2019,133535678,1,
2019,133530788,9,
2019,133530789,9,
2019,133531064,9,
2019,133531294,1,
2019,133541599,10,
2019,133541724,1,
2019,133536802,1,
2019,133541784,1,
2019,133536930,1,
2019,133542128,1,
2019,133537221,1,
2019,133537219,1,
2019,133531854,1,
2019,133537220,1,
2019,133537265,10,
2019,133537266,10,
2019,133537263,10,
2019,133537264,10,
2019,133537353,1,
2019,133537478,1,
2019,133537612,9,
2019,133537612,1,
2019,133537628,1,
2019,133537757,9,
2019,133543122,1,
2019,133537833,1,
2019,133537872,1,
2019,133548125,1,
2019,133548142,1,
2019,133548219,1,
2019,133552957,10,
2019,133548460,1,
2019,133548518,10,
2019,133548543,1,
2019,133553283,9,
2019,133544611,10,
2019,133549024,1,
2019,133549174,1,
2019,133549172,1,
2019,133549295,1,
2019,133549367,1,
2019,133549376,1,
2019,133545015,1,
2019,133545027,9,
2019,133549619,1,
2019,133549780,1,
2019,133549797,1,
2019,133554077,1,
2019,133549939,10,
2019,133550066,1,
2019,133550075,1,
2019,133550161,1,
2019,133533409,1,
2019,133538535,1,
2019,133530064,1,
2019,133534918,1,
2019,133530380,10,
2019,133540166,10,
2019,133535825,1,
2019,133531042,9,
2019,133541271,1,
2019,133531199,1,
2019,133531544,1,
2019,133533130,1,
2019,134459871,10,
2019,134469907,1,
2019,134459920,1,
2019,134469936,2,
2019,134459952,1,
2019,134459950,1,
2019,134459968,6,
2019,134459969,1,
2019,134469984,1,
2019,134464683,1,
2019,134460075,9,
2019,134464695,10,
2019,134460083,9,
2019,134460091,9,
2019,134460088,10,
2019,134460087,10,
2019,134460126,1,
2019,134470089,1,
2019,134460177,10,
2019,134460198,9,
2019,134460241,10,
2019,134460358,1,
2019,134470241,9,
2019,134460383,10,
2019,134460426,1,
2019,134460471,1,
2019,134470315,1,
2019,134271042,1,
2019,134271056,1,
2019,134271233,2,
2019,134271233,9,
2019,134266894,1,
2019,134271531,1,
2019,134283044,1,
2019,134278563,1,
2019,134283319,1,
2019,134272176,1,
2019,134288985,1,
2019,134272288,9,
2019,134288386,1,
2019,134288463,1,
2019,134279350,9,
2019,134288520,1,
2019,134288640,6,
2019,134288945,1,
2019,134288988,1,
2019,134286085,9,
2019,134289250,9,
2019,134469517,1,
2019,123449868,10,
2019,123456393,10,
2019,123449890,10,
2019,123450053,9,
2019,123450063,1,
2019,134459136,1,
2019,134459431,3,
2019,134464387,3,
2019,134459497,10,
2019,134469631,10,
2019,134469754,10,
2019,134459710,1,
2019,134459893,10,
2019,134459933,1,
2019,134459932,1,
2019,134459989,9,
2019,134460073,9,
2019,134460283,10,
2019,134464837,10,
2019,134470308,1,
2019,134464956,1,
2019,134459363,1,
2019,133533195,1,
2019,133521984,10,
2019,133533293,6,
2019,133522141,9,
2019,133522141,2,
2019,133533637,1,
2019,133538172,1,
2019,133538191,1,
2019,133538241,1,
2019,133534292,1,
2019,133539070,2,
2019,133534425,10,
2019,133529758,9,
2019,133534427,2,
2019,133534427,9,
2019,133529758,2,
2019,133539070,9,
2019,133539566,1,
2019,133535259,9,
2019,133530426,1,
2019,133535382,2,
2019,133535382,9,
2019,133535726,1,
2019,133540937,1,
2019,133541052,1,
2019,133536429,9,
2019,133536651,1,
2019,133541693,1,
2019,133542355,1,
2019,133537583,9,
2019,133542759,9,
2019,133542911,1,
2019,133537690,1,
2019,133537732,2,
2019,133537732,9,
2019,133537741,9,
2019,133537742,9,
2019,133537777,1,
2019,133537848,1,
2019,133532510,1,
2019,133543400,1,
2019,133548040,1,
2019,133548044,1,
2019,133543476,1,
2019,133543905,9,
2019,133543966,10,
2019,133544093,1,
2019,133544136,1,
2019,133544294,1,
2019,133548696,1,
2019,133548765,1,
2019,133549171,9,
2019,133549203,1,
2019,133553635,10,
2019,133549274,1,
2019,133549308,1,
2019,133549439,10,
2019,133549574,1,
2019,133553886,1,
2019,133549598,1,
2019,133549759,1,
2019,133549899,10,
2019,133549900,1,
2019,133549912,10,
2019,133554154,10,
2019,133550002,1,
2019,133550154,10,
2019,133550153,10,
2019,133550150,10,
2019,133550151,10,
2019,133550149,10,
2019,133550148,10,
2019,133550152,10,
2019,133550260,1,
2019,133550259,1,
2019,133550275,1,
2019,133550310,9,
2019,123453572,10,
2019,123456381,10,
2019,123456383,10,
2019,134286410,1,
2019,134286636,10,
2019,134289655,1,
2019,134286818,1,
2019,134286871,6,
2019,134289753,1,
2019,134289787,1,
2019,134286989,10,
2019,134281219,1,
2019,134281238,9,
2019,134281349,10,
2019,134290363,9,
2019,134287846,1,
2019,134282046,9,
2019,134282417,1,
2019,134291039,9,
2019,134291174,10,
2019,134291293,1,
2019,134291299,9,
2019,134297982,1,
2019,134294005,1,
2019,134291556,1,
2019,134291584,10,
2019,134291769,10,
2019,134291770,10,
2019,134291768,10,
2019,134291841,1,
2019,134291845,1,
2019,134291844,1,
2019,134291868,10,
2019,134292004,1,
2019,134292116,10,
2019,134298824,1,
2019,134292617,9,
2019,134294582,10,
2019,134292807,9,
2019,134294638,1,
2019,133528823,1,
2019,133521895,1,
2019,133522040,1,
2019,133522042,1,
2019,133533312,10,
2019,133533537,10,
2019,133522858,1,
2019,133533851,9,
2019,133533888,10,
2019,133538248,1,
2019,133538583,1,
2019,133534385,1,
2019,133534616,10,
2019,133530119,1,
2019,133535052,10,
2019,133539963,1,
2019,133535330,6,
2019,133540256,6,
2019,133540507,1,
2019,133530629,1,
2019,133540559,1,
2019,133540597,1,
2019,133535733,1,
2019,133540754,1,
2019,133540763,1,
2019,133540774,10,
2019,133535822,10,
2019,133535886,1,
2019,133530887,9,
2019,133530989,9,
2019,133530995,10,
2019,133531048,1,
2019,133536244,9,
2019,133536293,6,
2019,133536408,6,
2019,133541337,9,
2019,133541378,1,
2019,133541467,10,
2019,133541461,10,
2019,133536548,10,
2019,133536549,10,
2019,133536560,1,
2019,133536628,1,
2019,133536659,1,
2019,133541648,1,
2019,133531473,1,
2019,133541844,1,
2019,133536853,1,
2019,133537181,1,
2019,133542348,9,
2019,133542347,9,
2019,133537315,8,
2019,133542429,10,
2019,133537493,1,
2019,133537491,1,
2019,124072913,1,
2019,124432920,10,
2019,124422909,1,
2019,134771563,1,
2019,134771568,9,
2019,134774138,1,
2019,134774138,9,
2019,134771597,10,
2019,134277521,1,
2019,134270692,1,
2019,134288715,1,
2019,134270791,1,
2019,134270882,10,
2019,134270907,1,
2019,134270908,1,
2019,134266258,1,
2019,134266342,1,
2019,134271000,1,
2019,134266359,6,
2019,134277826,9,
2019,134271068,10,
2019,134271138,10,
2019,134266576,10,
2019,134266575,10,
2019,134271166,1,
2019,134271275,9,
2019,134278010,9,
2019,134266862,1,
2019,134266904,1,
2019,134271343,1,
2019,134266974,1,
2019,134278107,1,
2019,134278124,9,
2019,134271627,1,
2019,134267324,1,
2019,134278246,1,
2019,134267323,1,
2019,134278411,1,
2019,134271914,1,
2019,134271916,1,
2019,134283145,1,
2019,134283144,1,
2019,134283146,1,
2019,134272035,1,
2019,134272034,1,
2019,134272103,1,
2019,134272125,1,
2019,134272124,1,
2019,134272195,9,
2019,134278833,1,
2019,134283965,9,
2019,134284000,1,
2019,134272438,1,
2019,134272483,1,
2019,134289377,10,
2019,134272804,9,
2019,134272823,1,
2019,134272882,10,
2019,134287913,1,
2019,134287989,10,
2019,134288026,10,
2019,134288041,10,
2019,134288046,1,
2019,134288049,9,
2019,134288055,1,
2019,134288130,9,
2019,134288133,10,
2019,134288179,1,
2019,134284999,16,
2019,134285206,10,
2019,134285484,2,
2019,134285484,1,
2019,134288990,1,
2019,134285983,9,
2019,134280282,1,
2019,134286121,1,
2019,134286184,1,
2019,134286836,2,
2019,134286836,9,
2019,134287153,9,
2019,134290170,10,
2019,134287406,1,
2019,134287698,10,
2019,134291055,10,
2019,134291057,10,
2019,134291093,1,
2019,134293583,10,
2019,134282857,1,
2019,134293790,1,
2019,134291326,1,
2019,134297947,10,
2019,134297951,10,
2019,134291702,9,
2019,134291822,1,
2019,134291831,1,
2019,134294320,1,
2019,134298493,1,
2019,134294319,1,
2019,134291976,1,
2019,134294437,10,
2019,134292343,1,
2019,134298878,10,
2019,134292342,1,
2019,134299023,10,
2019,134299022,10,
2019,132998238,1,
2019,132998393,6,
2019,120320924,10,
2019,118526070,1,
2019,118537504,9,
2019,134966329,1,
2019,134960465,1,
2019,134970161,1,
2019,134966436,1,
2019,134966437,1,
2019,134960569,2,
2019,134970451,1,
2019,134966593,1,
2019,134970501,1,
2019,134970509,1,
2019,134960623,1,
2019,134960636,1,
2019,134960636,9,
2019,134966645,1,
2019,118533801,1,
2019,134285511,1,
2019,134288516,10,
2019,134285471,1,
2019,118537533,10,
2019,134279814,10,
2019,134285630,1,
2019,134289054,1,
2019,134285846,9,
2019,134285846,2,
2019,134280044,1,
2019,134285954,1,
2019,134289187,2,
2019,134289187,1,
2019,134280337,1,
2019,134289329,1,
2019,134286254,10,
2019,134289389,10,
2019,134280507,1,
2019,134286598,1,
2019,134280687,1,
2019,134280707,10,
2019,134289601,10,
2019,134280941,1,
2019,134277522,1,
2019,134288506,6,
2019,134279364,1,
2019,134280102,10,
2019,134286032,6,
2019,134280560,1,
2019,134291736,1,
2019,134294310,1,
2019,134291967,10,
2019,134298518,1,
2019,133533291,8,
2019,133529044,1,
2019,133529043,1,
2019,133522673,9,
2019,133533868,1,
2019,133539470,9,
2019,133539626,10,
2019,133530429,1,
2019,133530577,1,
2019,133540573,1,
2019,133535695,9,
2019,133530765,6,
2019,133531160,9,
2019,133541456,10,
2019,133541869,1,
2019,133537063,9,
2019,134265884,2,
2019,134277519,3,
2019,134277629,1,
2019,134266332,10,
2019,134277853,1,
2019,134266468,6,
2019,134277889,1,
2019,134266547,10,
2019,134278054,1,
2019,134266947,1,
2019,134267173,10,
2019,134267194,1,
2019,134271584,10,
2019,134267344,1,
2019,134271725,1,
2019,134271748,9,
2019,134267532,9,
2019,134267572,1,
2019,134267677,9,
2019,134271862,1,
2019,134279343,1,
2019,134267836,9,
2019,134282914,1,
2019,134271957,1,
2019,134283020,1,
2019,134278554,1,
2019,134283057,2,
2019,134278571,9,
2019,134272008,9,
2019,134283262,1,
2019,134278700,1,
2019,134278751,9,
2019,134278838,9,
2019,134278841,1,
2019,134278864,1,
2019,134278863,1,
2019,134278879,10,
2019,134278891,1,
2019,134278977,1,
2019,134279145,1,
2019,134279178,1,
2019,134279229,10,
2019,134284279,1,
2019,134284278,1,
2019,134279557,1,
2019,134285334,1,
2019,134285332,1,
2019,134279709,1,
2019,134279710,1,
2019,134279708,1,
2019,134288832,1,
2019,134285823,9,
2019,134286280,10,
2019,134286361,1,
2019,134280554,1,
2019,134280575,9,
2019,134287094,10,
2019,134289953,1,
2019,134281106,1,
2019,134290047,9,
2019,134281242,9,
2019,134281266,6,
2019,134281356,9,
2019,128714761,1,
2019,128714743,1,
2019,123456386,10,
2019,118525880,1,
2019,128723663,1,
2019,128714844,10,
2019,120372216,1,
2019,118537389,10,
2019,118537546,1,
2019,118534457,1,
2019,118534495,10,
2019,118537641,10,
2019,118534745,9,
2019,118541848,1,
2019,118530880,1,
2019,118530957,1,
2019,132977173,10,
2019,132977138,1,
2019,132977158,10,
2019,132998046,9,
2019,132998046,2,
2019,132992740,1,
2019,132977289,10,
2019,132977300,1,
2019,132998109,10,
2019,132977317,1,
2019,132992805,9,
2019,132992826,10,
2019,132977392,9,
2019,132977460,1,
2019,132977463,1,
2019,132977474,2,
2019,132977473,2,
2019,132977511,10,
2019,132977546,1,
2019,132977555,1,
2019,118529548,1,
2019,118534478,1,
2019,118530645,1,
2019,118537491,1,
2019,118537489,1,
2019,134266811,1,
2019,134285277,1,
2019,134285277,9,
2019,134279640,1,
2019,134285594,1,
2019,134288916,1,
2019,134285688,10,
2019,134285687,10,
2019,134288975,10,
2019,134285733,9,
2019,134289111,1,
2019,134289120,10,
2019,134286048,1,
2019,134286053,10,
2019,134289308,1,
2019,134286305,10,
2019,134280440,1,
2019,134289454,9,
2019,134289481,1,
2019,134286500,1,
2019,134286512,10,
2019,134286511,10,
2019,134286862,10,
2019,134281003,2,
2019,134281003,9,
2019,134287010,9,
2019,134281024,10,
2019,134281072,10,
2019,134287232,10,
2019,134281310,1,
2019,134281358,1,
2019,134287397,1,
2019,134290193,10,
2019,134281450,10,
2019,134290461,1,
2019,134287761,1,
2019,134290482,9,
2019,134290487,9,
