"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2019,12,132111038,24285090
2019,12,132105180,24290942
2019,12,132111123,24281019
2019,9,132116142,24285116
2019,12,132123806,24291891
2019,12,132113576,24285256
2019,12,132121386,24291219
2019,3,132121875,24291310
2019,12,132121908,24291320
2019,12,132117272,24291335
2019,3,132123713,24291867
2019,12,132123730,24291871
2019,12,132123823,24291898
2019,9,132123871,24291913
2019,12,132125035,24292121
2019,11,148056151,29413643
2019,18,148049711,29418264
2019,18,148049829,29418285
2019,12,148049843,29411751
2019,12,148061341,29413664
2019,12,148061517,29413696
2019,10,148057374,29421777
2019,11,148061633,29413720
2019,12,148050175,29418367
2019,21,148061855,29413765
2019,12,148057625,29421829
2019,12,148057630,29421831
2019,12,148050369,29418409
2019,18,148050369,29418410
2019,12,148050373,29418411
2019,3,148050407,29413792
2019,18,148050490,29413821
2019,20,148050502,29421865
2019,20,148062194,29413831
2019,12,148062383,29421899
2019,19,148057930,29421902
2019,10,148050740,29413893
2019,3,148057977,29421916
2019,12,148062564,29413910
2019,12,148058037,29421931
2019,12,148050854,29413922
2019,12,148050887,29413933
2019,18,148058093,29418522
2019,12,148051114,29418561
2019,12,148058298,29421986
2019,19,148051172,29418573
2019,3,148066177,29414025
2019,12,148066192,29421990
2019,18,148066191,29418580
2019,3,148066236,29418587
2019,12,148063062,29421998
2019,20,148063075,29414039
2019,18,148058440,29422016
2019,19,148063250,29418630
2019,4,148058541,29418650
2019,3,148058541,29414107
2019,12,148066494,29418657
2019,12,148063381,29414111
2019,18,148058632,29418682
2019,12,148063599,29418725
2019,12,148063707,29414189
2019,19,148066836,29418751
2019,12,148063820,29414211
2019,12,148063833,29414215
2019,12,148058985,29414248
2019,18,148063981,29414250
2019,18,148059030,29418815
2019,12,148059040,29422163
2019,12,148059160,29414298
2019,9,148067267,29418860
2019,12,148059173,29422192
2019,12,148059192,29422193
2019,12,148067288,29414322
2019,3,148067295,29414323
2019,12,148067302,29418869
2019,12,148064252,29414326
2019,12,148064263,29414328
2019,12,148059291,29422213
2019,19,148067396,29414354
2019,12,148064359,29414360
2019,18,148059318,29422223
2019,12,148059323,29422224
2019,3,148067440,29418913
2019,12,148067460,29418917
2019,12,148067481,29418922
2019,12,148059401,29422240
2019,20,148067536,29418936
2019,20,148064508,29414396
2019,4,148067591,29418952
2019,3,148067606,29418956
2019,12,148067619,29418960
2019,18,148059491,29422272
2019,12,148059491,29422271
2019,12,148059515,29418967
2019,12,148067660,29418969
2019,12,148059542,29422284
2019,12,148059578,29414442
2019,12,148064678,29414441
2019,12,148059599,29422303
2019,18,148067787,29418993
2019,18,148067811,29418995
2019,12,148059628,29418998
2019,5,148064735,29422312
2019,12,148064740,29414458
2019,12,148067846,29414467
2019,12,148067862,29419010
2019,12,148064785,29414471
2019,12,148067888,29419019
2019,20,148059697,29419023
2019,19,148064843,29414487
2019,18,148059755,29419050
2019,12,148059786,29414504
2019,18,148064931,29414510
2019,12,146795745,29106803
2019,20,146795858,29098465
2019,18,146814018,29098503
2019,18,146795993,29106843
2019,19,146821506,29111862
2019,20,146821584,29111887
2019,18,146826178,29098555
2019,2,148252589,29487636
