"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2019,21,132125029
2019,22,132122343
2019,21,132122344
2019,21,132115766
2019,21,132118192
2019,21,132118196
2019,21,132118198
2019,21,132118205
2019,21,132118208
2019,21,132118211
2019,21,132114789
2019,21,132118402
2019,21,132123732
2019,21,132118430
2019,21,132118453
2019,21,132118463
2019,21,132123816
2019,21,132118479
2019,21,132118487
2019,21,132123845
2019,21,132118504
2019,21,132118507
2019,21,132118512
2019,21,132115007
2019,21,132118521
2019,21,132123885
2019,21,132118534
2019,21,132124997
2019,21,132124996
2019,21,132125007
2019,21,132125026
2019,21,132115788
2019,21,132125054
2019,21,132125213
2019,21,132125226
2019,21,132125242
2019,22,132125254
2019,21,132126115
2019,21,132104877
2019,21,132104878
2019,21,132113002
2019,21,132105048
2019,21,132113037
2019,21,132111007
2019,21,132105088
2019,21,132113057
2019,21,132105100
2019,21,132105103
2019,21,132105104
2019,21,132111051
2019,21,132105130
2019,21,132111083
2019,21,132111109
2019,21,132113136
2019,21,132105246
2019,21,132105266
2019,21,132113165
2019,21,132113191
2019,21,132105362
2019,21,132116263
2019,21,132105433
2019,21,132121358
2019,21,132118207
2019,21,132118217
2019,21,132118342
2019,21,132118360
2019,21,132123690
2019,21,132118398
2019,21,132118405
2019,21,132118438
2019,21,132118444
2019,21,132118467
2019,21,132118481
2019,21,132118490
2019,21,132118491
2019,21,132123844
2019,21,132115739
2019,21,132115751
2019,21,132119344
2019,21,132115765
2019,21,132115773
2019,21,132125290
2019,21,132115873
2019,21,132113587
2019,21,132121381
2019,21,132121829
2019,21,132121827
2019,21,132121824
2019,21,132113779
2019,21,132121860
2019,21,132121866
2019,21,132121872
2019,21,132121871
2019,21,132117199
2019,21,132121884
2019,21,132117200
2019,21,132121895
2019,21,132117223
2019,21,132121914
2019,21,132113820
2019,21,132121955
2019,21,132121983
2019,21,132117270
2019,21,132121999
2019,21,132122022
2019,22,132122431
2019,22,132117669
2019,22,133902102
2019,22,133907227
2019,21,133907224
2019,22,140195477
2019,21,140195480
2019,21,140195479
2019,21,140202109
2019,21,140202110
2019,21,140195569
2019,21,140195585
2019,21,140195613
2019,22,140198291
2019,22,140195637
2019,22,140195636
2019,21,140195640
2019,21,140195644
2019,22,140195648
2019,21,140198293
2019,21,140195657
2019,21,140195658
2019,21,140195664
2019,21,140195667
2019,21,140195672
2019,21,140195688
2019,21,140195696
2019,21,140195703
2019,21,140195708
2019,21,140195720
2019,21,140195726
2019,21,140195727
2019,21,140195725
2019,21,140195728
2019,21,140195733
2019,21,140195742
2019,22,140195745
2019,22,140195746
2019,21,140202126
2019,21,140195758
2019,21,140202140
2019,21,140195761
2019,21,140202141
2019,21,140195764
2019,21,140195763
2019,22,140202145
2019,21,140202163
2019,22,140195788
2019,21,140195794
2019,21,140202177
2019,22,140195801
2019,22,140195802
2019,21,140195805
2019,21,140195806
2019,21,140195808
2019,21,140195810
2019,21,140195811
2019,21,140195812
2019,21,140195814
2019,22,140195815
2019,22,140195816
2019,21,140202186
2019,22,140195817
2019,21,140202198
2019,21,140195825
2019,21,140202202
2019,22,140202211
2019,21,140195833
2019,21,140195835
2019,21,140195837
2019,22,140195839
2019,22,140202219
2019,21,140195842
2019,21,140195845
