"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,37513856,3,37830981
2019,37513858,3,37830983
2019,37518268,1,37823102
2019,37518269,1,37823103
2019,37518270,1,37823104
2019,37522716,1,37823106
2019,32094244,1,32119334
2019,32082417,1,32108732
2019,32094248,1,32121872
2019,32082432,1,32108749
2019,32088274,1,32119359
2019,32094292,1,32121919
2019,32094389,1,32122008
2019,32094388,1,32122007
2019,32088495,1,32119601
2019,32094650,1,32122234
2019,32082659,1,32122437
2019,32094842,1,32122436
2019,32094866,1,32119696
2019,32098854,1,32124972
2019,32098855,1,32124973
2019,32095396,1,32122986
2019,32095405,1,32122994
2019,32098915,3,32125040
2019,32082993,3,32109315
2019,32095711,1,32109489
2019,32083209,1,32109510
2019,37512654,1,37819775
2019,37517421,1,37822261
2019,37517429,1,37819796
2019,37512677,1,37825039
2019,37517435,1,37819806
2019,37517443,1,37822280
2019,37522163,1,37825051
2019,37512698,1,37825054
2019,37517456,1,37822296
2019,37522172,7,37822298
2019,37522174,1,37819824
2019,37512703,1,37819825
2019,37517458,1,37825059
2019,37522175,1,37825058
2019,37522178,1,37825065
2019,37522179,1,37825066
2019,37512719,1,37825067
2019,37512724,1,37819837
2019,37522180,1,37825069
2019,37517471,1,37819845
2019,37522186,3,37825072
2019,37512734,1,37822315
2019,37517472,1,37822314
2019,37517474,1,37822317
2019,37512735,1,37819853
2019,37517475,1,37822318
2019,37512737,1,37819856
2019,37517479,1,37825077
2019,37522194,1,37825078
2019,37522197,3,37825080
2019,37512751,1,37819872
2019,37522205,1,37825088
2019,37512761,3,37819882
2019,37517497,1,37822337
2019,37512768,1,37819890
2019,37522209,1,37825093
2019,37522214,1,37825096
2019,37512777,1,37819900
2019,37512779,1,37822345
2019,37522217,1,37822349
2019,37512784,1,37819907
2019,37512788,1,37819910
2019,37512798,1,37822354
2019,37517517,1,37822363
2019,37517519,1,37822371
2019,37522223,1,37822375
2019,37512819,1,37819932
2019,37512820,1,37822377
2019,37517526,1,37822379
2019,37512826,1,37829941
2019,37512830,1,37829949
2019,37517537,1,37822387
2019,37522232,1,37822388
2019,37517538,1,37822390
2019,37517542,1,37822393
2019,37522243,1,37825120
2019,37517553,1,37829990
2019,37517558,1,37822402
2019,37512880,1,37822404
2019,37512881,1,37822405
2019,37512882,1,37830003
2019,37512887,1,37830009
2019,37512888,1,37830011
2019,37512892,1,37830017
2019,37512896,1,37830021
2019,37517577,1,37822419
2019,37512904,1,37830028
2019,37522271,1,37825146
2019,37522270,1,37830029
2019,37512905,1,37830030
2019,37517588,1,37822433
2019,37517587,1,37822432
2019,37522275,3,37825152
2019,37517589,1,37830039
2019,37517590,1,37822434
2019,37517593,1,37830041
2019,37512923,1,37822436
2019,37522278,1,37825157
2019,37522279,1,37825158
2019,37512927,8,37830054
2019,37512929,1,37830057
2019,37512940,1,37830068
2019,37517610,1,37822448
2019,37517611,1,37822449
2019,37512950,6,37830078
2019,37512949,2,37830077
2019,37512957,1,37830085
2019,37512956,1,37830084
2019,37512963,1,37830090
2019,37517618,1,37830093
2019,37522299,1,37825177
2019,37517619,1,37822457
2019,37517620,1,37822458
2019,37512971,1,37822463
2019,37512979,1,37830106
2019,37517630,1,37822467
2019,37512980,1,37830107
2019,37517632,1,37822469
2019,37512988,1,37830115
2019,37522312,7,37830119
2019,37512996,1,37830123
2019,37512999,1,37830125
2019,37513001,1,37830129
2019,37517093,1,37821934
2019,37521917,1,37821974
2019,37517146,3,37821989
2019,37521945,1,37814841
2019,37517174,3,37822017
2019,37512296,1,37819402
2019,37517189,1,37822032
2019,37517188,1,37822031
2019,37517196,1,37822039
2019,37517197,1,37822040
2019,37521964,1,37814861
2019,37517222,1,37822063
2019,37521980,1,37814877
2019,37517228,1,37822069
2019,37512391,1,37819503
2019,37517266,1,37819520
2019,37512419,1,37819536
2019,37522043,7,37824936
2019,37517339,1,37822178
2019,37517342,1,37819639
2019,37512529,1,37819647
2019,37517351,1,37819651
2019,37517370,1,37819683
2019,37512567,1,37819682
2019,37522103,1,37824993
2019,37512584,1,37819701
2019,37522102,1,37824992
2019,37517400,1,37825016
2019,37517419,1,37819773
2019,37522146,1,37819771
2019,37512653,1,37819774
2019,32099202,1,32123461
2019,32099204,1,32125326
2019,32099205,1,32125327
2019,33449768,1,33480978
2019,33454649,1,33480981
2019,33440472,1,33481026
2019,33449808,1,33485889
2019,33440491,1,33481043
2019,33449838,1,33485913
2019,32095253,1,32124945
2019,32095425,1,32123011
2019,32099152,1,32123335
2019,32099157,1,32125270
2019,32099158,1,32125271
2019,32099168,1,32125287
2019,32094245,1,32121869
2019,32088248,1,32121879
2019,32094255,1,32121880
2019,32088316,1,32108788
2019,32082582,1,32122252
2019,32094662,1,32122249
2019,32094827,1,32122422
2019,37513665,1,37825481
2019,37518158,1,37823005
2019,37522619,1,37825505
2019,37513703,1,37830817
2019,37513711,1,37830826
2019,37513712,1,37825512
2019,37518203,1,37823047
2019,37518213,1,37830869
2019,37518214,1,37823056
2019,37513749,1,37823055
2019,37513755,1,37830875
2019,37522668,1,37825549
2019,37513775,1,37823064
2019,37513785,1,37830907
2019,37513786,1,37830908
2019,37513790,1,37830912
2019,37513791,1,37830913
2019,37518239,1,37823079
2019,37513815,7,37830941
2019,37513830,1,37830952
2019,37513829,1,37830951
2019,37513835,1,37830958
2019,37513834,1,37830957
2019,37513837,1,37830963
2019,37513842,1,37830965
2019,37522706,1,37825592
2019,37518262,1,37823095
2019,37513848,1,37825598
2019,37518263,1,37823097
2019,37513852,1,37830977
2019,37513854,1,37830979
2019,37513857,1,37830982
2019,37518278,1,37823112
2019,37518277,1,37823111
2019,37513872,1,37825603
2019,37513882,21,37831008
2019,37513883,3,37831010
2019,37513887,1,37823129
2019,37518297,1,37823131
2019,37518300,1,37823136
2019,37513903,1,37831028
2019,37518308,1,37823147
2019,37513951,1,37823172
2019,37513952,1,37831073
2019,37522773,1,37825657
2019,37513957,1,37823180
2019,37513972,1,37831094
2019,37522804,1,37825684
2019,37522810,1,37823217
2019,37514010,1,37831127
2019,37522826,1,37823234
2019,37514020,3,37823236
2019,37518396,2,37831141
2019,37514035,1,37823245
2019,37522834,1,37825719
2019,37518402,1,37823251
2019,37518401,1,37831155
2019,37514052,1,37831166
2019,37522850,1,37825737
2019,37514072,1,37831188
2019,37518425,1,37823269
2019,37522896,1,37825778
2019,37518458,1,37831245
2019,37522901,1,37825785
2019,37522923,1,37825804
2019,37514160,1,37823322
2019,37514157,1,37831276
2019,37522928,1,37823328
2019,37522931,1,37825813
2019,37522932,1,37831294
2019,37518482,1,37831296
2019,37518489,1,37823340
2019,37522942,1,37831305
2019,37522944,1,37831307
2019,37518493,1,37823344
2019,37518495,1,37823345
2019,37514265,1,37831374
2019,37518544,3,37831383
2019,37518545,3,37823387
2019,37522987,3,37831381
2019,37522988,3,37825877
2019,37522995,1,37831394
2019,37522996,1,37825884
2019,37514339,1,37831452
2019,37514342,1,37823442
2019,37523080,1,37831501
2019,37523089,1,37823476
2019,37514409,1,37831525
2019,37523107,1,37825984
2019,37523132,1,37826004
2019,37523130,1,37826003
2019,37518653,1,37823505
2019,37523131,1,37823506
2019,37523146,1,37823515
2019,37523145,1,37826018
2019,37523155,1,37823529
2019,37514486,1,37831603
2019,37523163,1,37831607
2019,37514494,1,37823555
2019,37523172,1,37826043
2019,37518710,1,37823563
2019,37523214,1,37823585
2019,37523222,1,37826097
2019,37518736,1,37823590
2019,37523247,1,37826125
2019,37524602,1,37826127
2019,37523257,1,37831729
2019,37523263,1,37826153
2019,37524676,1,37826191
2019,37523295,1,37826189
2019,37524692,1,37831797
2019,37523315,1,37831798
2019,37518827,1,37823681
2019,37518830,1,37826209
2019,37524718,1,37826218
2019,37524768,1,37831867
2019,37524776,1,37831874
2019,37523379,1,37831884
2019,37523396,1,37826295
2019,37523405,1,37823759
2019,37523413,1,37823763
2019,37524830,1,37823769
2019,37523435,1,37826330
2019,37524862,1,37831960
2019,37523470,1,37826368
2019,37523472,1,37826369
2019,37518961,1,37826391
2019,37518971,1,37826405
2019,37523515,1,37826409
2019,37523516,1,37826410
2019,37523538,1,37826430
2019,37523537,1,37826429
2019,37524970,1,37832070
2019,37519046,1,37826515
2019,37523632,1,37823908
2019,37519063,1,37832093
2019,37525000,1,37826538
2019,37523665,1,37826571
2019,37523666,1,37826572
2019,37525037,1,37832131
2019,37523669,1,37826576
2019,37519096,1,37823941
2019,37523685,7,37826592
2019,37523687,1,37826594
2019,37523686,1,37826593
2019,32083242,1,32125324
2019,33440400,1,33476667
2019,33440407,1,33480977
2019,33440461,1,33476712
2019,33440481,1,33476731
2019,33449812,1,33476737
2019,33834503,1,33829929
2019,33839509,1,33834933
2019,33829520,1,33824945
2019,33704504,1,33704930
2019,33709519,1,33709945
2019,33704520,1,33704943
2019,33704522,1,33709950
2019,37512248,1,37819353
2019,37512266,1,37819373
2019,37512284,1,37822014
2019,37512285,1,37819391
2019,37521954,1,37814850
2019,37517208,1,37819433
2019,37517233,1,37822074
2019,37517234,3,37822075
2019,37517232,1,37822073
2019,37517280,1,37819532
2019,37517281,1,37822116
2019,37512423,1,37819540
2019,37512459,1,37822146
2019,37512458,1,37819573
2019,37512461,1,37819575
2019,37517313,1,37822150
2019,37517312,1,37822149
2019,37512490,1,37819605
2019,37522077,1,37824966
2019,37522075,1,37824964
2019,37522076,1,37824965
2019,37517362,1,37822201
2019,37522088,1,37824979
2019,37522099,1,37824989
2019,37517382,1,37819698
2019,37512595,1,37819717
2019,37517390,1,37822229
2019,37517410,1,37822255
2019,37512673,1,37819797
2019,37522153,1,37825036
2019,37512690,1,37819810
2019,37522159,1,37825048
2019,37512716,1,37822305
2019,37522181,1,37822309
2019,37512731,1,37819847
2019,37522188,7,37819851
2019,37512753,1,37819874
2019,37512754,1,37819875
2019,37522204,1,37825087
2019,37512769,1,37819891
2019,37512773,8,37819895
2019,37512782,1,37822347
2019,37512797,1,37822353
2019,37512800,1,37825102
2019,37512799,1,37819919
2019,37517512,1,37822356
2019,37517515,1,37822360
2019,37512808,1,37822365
2019,33449759,1,33480967
2019,33454643,1,33476670
2019,33440406,1,33480976
2019,33440414,1,33476678
2019,33449806,1,33476723
2019,33440474,1,33481029
2019,33440475,1,33481030
2019,33440499,1,33476739
2019,33449836,1,33481060
2019,33440513,1,33476753
2019,33449841,1,33481065
2019,33440514,1,33481066
2019,37524594,1,37831708
2019,37524607,1,37831723
2019,37524606,1,37823607
2019,37523254,1,37826138
2019,37523253,1,37831725
2019,37518811,1,37823652
2019,37524675,1,37823656
2019,37523314,1,37823672
