"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,134464328,4
2019,134459301,4
2019,134459388,4
2019,134459418,4
2019,134459511,4
2019,134464448,4
2019,134469644,5
2019,134459532,4
2019,134459544,5
2019,134459546,4
2019,134459578,6
2019,134459668,5
2019,134464543,4
2019,134469829,4
2019,134459772,6
2019,134459890,4
2019,134469914,4
2019,134459915,4
2019,134459950,5
2019,134459952,5
2019,134459976,4
2019,134459988,4
2019,134459987,5
2019,134464653,5
2019,134469985,5
2019,134469984,4
2019,134470018,4
2019,134464695,6
2019,134460075,5
2019,134460079,4
2019,134460083,5
2019,134460087,5
2019,134460088,5
2019,134460114,4
2019,134460126,5
2019,134460158,4
2019,134460207,5
2019,134460249,5
2019,134460250,4
2019,134460299,4
2019,134460350,5
2019,134470258,5
2019,134460426,5
2019,134460471,5
2019,134470297,5
2019,128723737,4
2019,128723745,4
2019,128728293,5
2019,128723812,5
2019,128723815,4
2019,128723606,4
2019,128723789,4
2019,128723636,5
2019,128723716,4
2019,128723741,5
2019,128723748,5
2019,128723758,4
2019,128723771,4
2019,128723808,4
2019,128723816,5
2019,128723843,4
2019,128723846,4
2019,128723860,4
2019,128728366,4
2019,128723920,4
2019,128723930,5
2019,128723965,4
2019,128723967,4
2019,128723971,5
2019,128723631,4
2019,128728219,5
2019,128723587,4
2019,128723625,4
2019,128723715,4
2019,128723747,4
2019,128723764,5
2019,128714828,4
2019,128714865,4
2019,128723852,4
2019,128723862,4
2019,128723885,4
2019,128723889,4
2019,128714882,4
2019,128723913,4
2019,128723934,4
2019,128728396,4
2019,128723964,4
2019,128723986,4
2019,132992662,4
2019,132977135,4
2019,132997978,4
2019,132977191,5
2019,132977262,4
2019,132977281,5
2019,132977310,4
2019,132992797,4
2019,132998136,4
2019,132977340,4
2019,132977339,4
2019,132992834,4
2019,132977378,4
2019,132977395,5
2019,132992867,4
2019,132977423,4
2019,132977454,5
2019,132977458,5
2019,132977479,5
2019,132998266,5
2019,133002903,5
2019,133002904,5
2019,132977480,5
2019,132977503,4
2019,132977531,5
2019,132998314,5
2019,132977548,4
2019,132977550,4
2019,132977563,4
